"Zip Code","City","State","lat","lng","% of Visits","Visits","YoY Change in Visits","% YoY Change in Visits"
"78537","Donna","TX","26.173243510118095","-98.05743413936362","0.116","413","366","778.7234042553191"
"88415","Clayton","NM","36.35167992129692","-103.3263818730881","0.114","403","-136","-25.231910946196656"
"79022","Dalhart","TX","36.10008301191853","-102.61442135120872","0.112","396","-411","-50.92936802973978"
"79404","Lubbock","TX","33.52648806553675","-101.79858126144487","0.098","348","-51","-12.781954887218049"
"88203","Roswell","NM","33.221728041813016","-104.43899056503476","0.098","348","129","58.904109589041084"
"79063","Nazareth","TX","34.51063431245243","-102.11499195548036","0.097","346","-272","-44.01294498381877"
"79371","Sudan","TX","33.97942401101909","-102.69412386351678","0.097","344","-94","-21.461187214611876"
"78681","Round Rock","TX","30.535482606092774","-97.719795927973","0.091","324","256","376.4705882352941"
"79088","Tulia","TX","34.574614047579736","-101.69315839846698","0.091","322","-5","-1.5290519877675823"
"79416","Lubbock","TX","33.604734041210975","-101.97654368358766","0.086","305","57","22.983870967741925"
"79406","Lubbock","TX","33.58338747387883","-101.8808257886044","0.083","293","-272","-48.14159292035398"
"79346","Morton","TX","33.64806014106225","-102.82305385376857","0.08","283","-114","-28.71536523929471"
"79064","Olton","TX","34.1773668376282","-102.12699774402482","0.078","276","-566","-67.2209026128266"
"79001","Adrian","TX","35.28240315192947","-102.80226214312694","0.075","266","7","2.7027027027026973"
"79041","Hale Center","TX","34.037595439054265","-101.93473105325901","0.07","249","225","937.5"
"79101","Amarillo","TX","35.206072304121726","-101.83950020672927","0.068","240","95","65.51724137931035"
"67846","Garden City","KS","38.02310699168467","-100.77756756912721","0.062","220","169","331.37254901960785"
"79424","Lubbock","TX","33.46865422690192","-101.93881477244446","0.059","210","58","38.1578947368421"
"68025","Fremont","NE","41.43747304401638","-96.49152295013575","0.059","208","50","31.645569620253156"
"79241","Aiken","TX","34.180661784683394","-101.38506755609565","0.058","206","122","145.23809523809524"
"78840","Del Rio","TX","29.744920017899734","-100.92365292522068","0.058","205","165","412.5"
"88260","Lovington","NM","32.98703042996358","-103.3979637224464","0.055","195","66","51.162790697674424"
"79413","Lubbock","TX","33.54575595413787","-101.88777890226807","0.055","195","61","45.5223880597015"
"79104","Amarillo","TX","35.20111815590894","-101.79012148428873","0.054","193","-98","-33.67697594501718"
"79415","Lubbock","TX","33.69864224129021","-101.90500508085017","0.054","193","22","12.865497076023402"
"79065","Pampa","TX","35.52363508264797","-100.90377604858887","0.054","192","-500","-72.25433526011561"
"87123","Albuquerque","NM","35.06206500409539","-106.46988781443308","0.051","180","180","N/A"
"79042","Happy","TX","34.74801981123924","-101.89447989086281","0.05","179","-141","-44.06250000000001"
"79007","Borger","TX","35.66634225987298","-101.41441711628438","0.05","177","-302","-63.048016701461385"
"38108","Memphis","TN","35.17630117964145","-89.96389131037793","0.046","162","162","N/A"
"78599","Weslaco","TX","26.21808461513023","-97.99086925045412","0.044","155","65","72.22222222222223"
"79423","Lubbock","TX","33.43376338653662","-101.84752573889398","0.042","150","-76","-33.62831858407079"
"67124","Pratt","KS","37.636442049899976","-98.77233554473514","0.042","148","-77","-34.22222222222222"
"79339","Littlefield","TX","33.879343088327715","-102.3469040418395","0.041","146","-230","-61.170212765957444"
"21157","Westminster","MD","39.548920385057286","-76.9815867007363","0.041","145","145","N/A"
"79360","Seminole","TX","32.6901903646258","-102.72479598406596","0.041","144","-98","-40.49586776859504"
"79016","Canyon","TX","34.98338271531772","-101.91480372198396","0.04","143","90","169.81132075471697"
"83202","Pocatello","ID","42.970594023031985","-112.3474000410795","0.04","140","140","N/A"
"78751","Austin","TX","30.31075594225005","-97.7227668019997","0.037","131","131","N/A"
"82070","Laramie","WY","41.214062601116524","-105.85038234606212","0.036","129","-299","-69.85981308411215"
"44857","Norwalk","OH","41.21785780360737","-82.58212346231764","0.036","127","127","N/A"
"79019","Claude","TX","34.98100898096355","-101.39288334811378","0.035","124","76","158.33333333333334"
"88240","Hobbs","NM","32.672877931168195","-103.43455340594355","0.035","123","-402","-76.57142857142857"
"88124","Melrose","NM","34.5276694426037","-103.64728981904858","0.034","121","95","365.3846153846154"
"79762","Odessa","TX","31.925724369627048","-102.35503459508968","0.034","120","-20","-14.28571428571429"
"77845","College Station","TX","30.56211210361931","-96.27608682830515","0.034","120","6","5.263157894736836"
"79323","Denver City","TX","32.946777505571","-102.89675155879529","0.034","119","7","6.25"
"79098","Wildorado","TX","35.15669215842383","-102.2164499411551","0.033","118","-292","-71.21951219512195"
"88120","Grady","NM","34.90329951357088","-103.42523210383054","0.032","114","53","86.88524590163935"
"79316","Brownfield","TX","33.134775062285385","-102.30580528391617","0.032","113","-233","-67.34104046242774"
"79091","Umbarger","TX","34.87049426929754","-102.11431329730304","0.032","112","101","918.1818181818181"
"88201","Roswell","NM","33.66513672397501","-104.48931859871631","0.031","111","-79","-41.57894736842105"
